Category,percent_HA,Salinity,ID
100HA,100,36,100HA_1
100HA,100,36,100HA_2
100HA,100,35,100HA_3
100HA,100,36,100HA_4
100HA,100,36,100HA_5
100HA,100,36,100HA_6
100HA,100,36,100HA_7
100HA,100,37,100HA_8
100HA,100,36,100HA_9
100HA,100,36,100HA_10
80HA,80,36,80HA_1
80HA,80,36,80HA_2
80HA,80,37,80HA_3
80HA,80,36,80HA_4
80HA,80,36,80HA_5
80HA,80,37,80HA_6
80HA,80,36,80HA_7
80HA,80,37,80HA_8
80HA,80,38,80HA_9
80HA,80,36,80HA_10
60HA,60,36,60HA_1
60HA,60,36,60HA_2
60HA,60,36,60HA_3
60HA,60,37,60HA_4
60HA,60,36,60HA_5
60HA,60,36,60HA_6
60HA,60,37,60HA_7
60HA,60,36,60HA_8
60HA,60,36,60HA_9
60HA,60,37,60HA_10
40HA,40,37,40HA_1
40HA,40,37,40HA_2
40HA,40,37,40HA_3
40HA,40,37,40HA_4
40HA,40,36,40HA_5
40HA,40,38,40HA_6
40HA,40,38,40HA_7
40HA,40,37,40HA_8
40HA,40,38,40HA_9
40HA,40,36,40HA_10
20HA,20,37,20HA_1
20HA,20,38,20HA_2
20HA,20,37,20HA_3
20HA,20,37,20HA_4
20HA,20,37,20HA_5
20HA,20,38,20HA_6
20HA,20,38,20HA_7
20HA,20,38,20HA_8
20HA,20,38,20HA_9
20HA,20,37,20HA_10
0HA,0,38,0HA_1
0HA,0,38,0HA_2
0HA,0,37,0HA_3
0HA,0,38,0HA_4
0HA,0,39,0HA_5
0HA,0,38,0HA_6
0HA,0,37,0HA_7
0HA,0,38,0HA_8
0HA,0,38,0HA_9
0HA,0,37,0HA_10
